Fecha de Toma de Muestra,Hora de Toma de Muestra,Fecha de Entrega al Laboratorio,Código de la Muestra,NSPM,Código del Laboratorio,Tipo de Muestra,Clasificación de la Muestra,Color Aparente,Turbiedad,pH,Cloro Residual Libre,Dureza Total,Hierro Total,Cloruros,Alcalinidad,Sulfatos,Nitratos,Coliformes Totales,Técnica Empleada para la Determinación de los Coliformes Totales,Escherichia Coli,Técnica Empleada para la Determinación de la Escherichia Coli,Resultados del IRCA por Muestra
01/01/2012 12:00:00 AM,1899-12-31T10:05:00.000,01/01/2012 12:00:00 AM,0001-1,2,,2,2,8.7,1.18,7.1,1.48,,,,,,,0,1,0,0,0
01/01/2012 12:00:00 AM,1899-12-31T10:22:00.000,01/01/2012 12:00:00 AM,0001-2,15,,2,2,3.2,0.6,7.14,1.18,,,,,,,0,1,0,0,0
01/01/2012 12:00:00 AM,1899-12-31T10:34:00.000,01/01/2012 12:00:00 AM,0001-3,20,,2,2,3.4,0.55,7.21,1.77,,,,,,,1,1,0,0,19.35
01/02/2012 12:00:00 AM,1899-12-31T09:48:00.000,01/02/2012 12:00:00 AM,0004-1,4,,2,2,8.4,0.91,7.1,1.42,,,,,,,0,1,0,0,0
01/02/2012 12:00:00 AM,1899-12-31T09:26:00.000,01/02/2012 12:00:00 AM,0004-2,7,,2,2,24,3.03,7.17,1.52,,,,,,,0,1,0,0,27.1
01/02/2012 12:00:00 AM,1899-12-31T09:10:00.000,01/02/2012 12:00:00 AM,0004-3,17,,2,2,3.5,0.42,7.4,1.17,,,,,,,0,1,0,0,0
01/03/2012 12:00:00 AM,1899-12-31T08:50:00.000,01/03/2012 12:00:00 AM,0007-1,3,,2,2,14.4,1.6,7.32,1.43,,,,,,,0,1,0,0,0
01/03/2012 12:00:00 AM,1899-12-31T09:30:00.000,01/03/2012 12:00:00 AM,0007-2,8,,2,2,15,1.9,7.19,1.4,,,,,,,0,1,0,0,0
01/03/2012 12:00:00 AM,1899-12-31T09:08:00.000,01/03/2012 12:00:00 AM,0007-3,13,,2,2,14.8,1.23,7.34,1.48,,,,,,,0,1,0,0,0
01/04/2012 12:00:00 AM,1899-12-31T10:50:00.000,01/04/2012 12:00:00 AM,0011-1,12,,2,2,11.7,1.2,7.32,1.39,,,,,,,0,1,0,0,0
01/04/2012 12:00:00 AM,1899-12-31T09:50:00.000,01/04/2012 12:00:00 AM,0011-2,16,,2,2,11.8,1.06,7.34,1.15,,,,,,,0,1,0,0,0
01/04/2012 12:00:00 AM,1899-12-31T10:15:00.000,01/04/2012 12:00:00 AM,0011-3,15,,2,2,3.2,0.38,7.32,0.84,53,0.031,14,45,5,1.7,0,1,0,0,0
01/05/2012 12:00:00 AM,1899-12-31T10:00:00.000,01/05/2012 12:00:00 AM,0015-1,5,,2,2,5.9,0.97,6.93,1.32,,,,,,,0,1,0,0,0
01/05/2012 12:00:00 AM,1899-12-31T09:05:00.000,01/05/2012 12:00:00 AM,0015-2,18,,2,2,7.7,0.88,7.02,1.23,,,,,,,0,1,0,0,0
01/05/2012 12:00:00 AM,1899-12-31T09:40:00.000,01/05/2012 12:00:00 AM,0015-3,1,,2,2,5.8,0.78,7.03,1.31,,,,,,,0,1,0,0,0
