pH,Nitratos
7.1,
7.14,
7.21,
7.1,
7.17,
7.4,
7.32,
7.19,
7.34,
7.32,
7.34,
7.32,1.7
6.93,
7.02,
7.03,
6.94,
7.04,
7.02,1
6.7,
6.85,
6.93,
6.78,
6.9,
6.72,
6.86,
6.94,
6.78,
6.88,
6.74,
6.78,
6.8,1.2
6.71,
6.78,
6.8,
6.86,
6.96,
6.92,1.6
6.95,
7.06,
7.1,
6.93,
7.08,
7.08,
6.86,
6.96,
6.91,
7,
6.98,
7,
7,
7.04,
7.1,1.7
6.99,
7.12,
7.06,
7.03,
7,
6.88,
6.77,
6.88,
6.86,
6.79,
6.78,
6.94,
7.2,
7.12,
7.06,
6.81,
6.84,
6.86,8
6.96,
6.86,
6.9,
6.98,
7.04,
7.04,1
7.08,
7.08,
7.06,
7,
6.98,
7.06,
7.07,
7.07,
7.05,
6.94,
6.94,
6.97,
7.24,
7.14,1.5
7.12,
6.9,
6.88,
6.93,
6.97,
6.92,
6.9,0.7
6.91,
6.96,
7.04,
6.88,
6.9,
6.95,
6.84,
6.88,
6.92,
6.9,
7,
7.02,
7.04,
6.96,
6.94,1.5
6.84,
7.76,
7.22,
7,
7.08,
7.14,0.7
6.89,
6.84,
6.92,
7.02,
7.04,
7.02,
7.1,
7.17,
7.14,
6.75,
6.76,
6.85,
7.1,
7.2,
7.24,1.5
7.16,
7.21,
7.32,
7.32,
7.34,
7.4,1.6
7.27,
7.33,
7.27,
7.16,
7.16,
7.4,
7.28,
7.8,
7.32,
7.34,
7.36,
7.47,
7.48,1.4
7.33,
7.33,
7.31,
7.28,0.9
7.01,
7.22,
7.3,
7.44,1.5
7.38,1.4
7.42,1.7
7.32,1.3
7.38,1.4
7.37,
7.27,
7.32,
7.57,
7.72,
7.45,
6.97,
7.07,
7.1,
6.98,
7.1,
7.1,
6.98,
7.1,
7.06,
7.11,
7.08,
7.17,
7.28,
7.36,
7.3,
7.04,
7.04,
7.13,
6.83,
6.85,
6.88,
7.14,
7.19,
7.12,
7.04,
7.02,
7.17,
7.19,
7.32,1.6
7.22,
7.24,
7.22,
7.32,
7.31,
7.32,
7.08,
7.14,
7.18,
7.19,
7.28,
7.32,
7,
7.1,
7.11,1.4
6.88,
7.03,
7.13,
6.76,
6.86,
7.01,1.8
6.87,
6.83,
6.62,
6.62,
6.58,
6.67,
6.72,
6.76,
6.5,
6.51,
6.52,
6.96,
6.98,
6.96,1
6.84,
6.9,
6.92,
6.58,
6.54,
6.68,
6.72,
6.66,
6.77,
6.75,
6.68,
6.84,
6.72,
6.78,
6.8,
6.99,
6.94,
6.92,
7.04,
7.08,0.8
7.12,1.9
7.1,1.6
7.13,1.7
7.04,1.7
7.16,1.8
6.82,
7.12,
7.08,
6.94,
7.08,
7.08,
7.53,
7.2,
7.32,
7.1,
7.12,
7.14,1.6
7,
7.02,
6.99,
7,
7.04,1.7
6.86,
6.92,
6.96,
6.74,
6.78,
6.76,
6.97,
6.86,
6.33,
6.46,
6.53,
6.7,
6.67,
6.75,
6.88,
7,
6.66,
6.77,
6.78,0.8
6.64,
6.71,
6.77,
6.57,
6.74,
6.84,1
7,
7,
7.06,
6.78,
6.83,
6.83,
6.82,
6.86,
7.01,
6.97,
7.07,
6.96,1.5
7.2,1.5
7.23,1.7
7.04,1.8
6.96,1.6
7.02,
6.99,
6.98,
6.95,
6.86,
7,
6.96,
6.68,
6.78,
6.78,
6.94,
6.87,
6.98,
6.87,
7.03,
7,
6.78,
6.86,
7.02,0.6
6.76,
6.88,
6.89,
6.92,
6.92,
6.85,1.6
7.01,
7.14,
7.18,
6.94,
7.17,
7.2,
6.9,
6.96,
7.12,
6.99,
7.36,
7.17,
7.32,
7.3,
7.29,
7.39,1.7
7.36,
7.34,
7.35,
7.28,
7.22,
7.25,1.9
7.2,
7.2,
7.21,
7.2,
7.14,
7.24,
7.4,
7.32,
7.32,
7.36,
7.32,
7.32,
7.26,1.9
7.3,1.9
7.26,2
7.42,1.8
7.38,1.6
7.12,
7.16,
7.16,
7.25,
7.4,
7.3,
6.98,
7.1,
7.2,
7.15,
7.15,
7.14,
7.26,
7.27,
7.29,
7.21,
7.24,
7.24,
7.28,
7.2,
7.26,
7.27,
7.34,
7.32,
7.21,
7.1,1.9
7.14,2
7.23,
7.18,
7.23,
7.02,
7.02,
7,
7.21,
7.27,
7.24,
7.22,
7.3,
7.35,
7.18,
7.15,1.9
7.16,2.3
7.3,
7.25,
7.26,
7.32,
7.26,
7.24,
7.22,
7.34,
7.22,
7.04,
7.13,
7.22,
7.15,
7.14,
7.25,
7.22,
7.14,
7.12,
7.26,
7.22,
7.28,
6.63,
6.61,
6.67,
6.76,
6.7,
7.03,
6.86,
6.73,
7.08,
6.73,6.6
6.74,
6.82,
7.01,
6.8,
6.64,
6.78,5.6
6.76,
6.72,
6.56,
6.76,
6.61,
6.72,
6.77,
6.96,
6.79,
6.78,
6.71,
6.74,
6.8,
7.12,
6.95,8.3
6.69,
6.95,
6.69,
6.66,
6.82,
7.29,6.9
7.3,
7.28,
7.11,
7.12,
7.2,
7.22,
7.21,
7.03,
7.29,
7.29,
7.14,
7.22,
7.14,
7.15,
7.15,9
7.21,
7.19,
7.15,
7.2,
7.19,
7.15,8.7
7.15,
7.17,
7.08,
7.16,
7.13,
7.15,
7.2,
7.18,
7.26,
7.27,
7.26,
7.16,
7.13,
7.08,
7.3,
7.22,
7.3,
7,7.9
7.1,8.1
7,
7.08,
7,
7.15,
7.2,
7.08,
7.3,
7.26,
7.3,
7.2,
7.31,
7.15,
7.25,
7.3,
7.23,
7.1,
7.08,
7.09,
7.09,7.2
7.12,
7,
6.98,
7,
6.97,
7.09,9.6
7.09,
6.96,
7.02,
6.99,
7.04,
7.16,
7.09,
7.11,
7.14,
7.15,
7.08,
7.05,
7.03,
7.02,
7.09,8.4
7.1,
7.07,
6.95,
7.03,
6.93,
7.08,7
7.07,
7.06,
7.11,
7.13,
7.14,
7.08,
7.01,
7.04,
