PH,TEMPERATURA,CONDUCTIVIDAD,NITRATOS
8.52,17.8,361,1
8.26,18.7,152,2.1
7.96,20.4,89,2
8.28,17.5,367,1.9
8.1,17.7,157,0.9
8.2,17,87,1.3
8.34,18.8,383,1.2
8.22,19.1,159,0.7
8,19.2,86,1.6
8.21,19.1,292,1.1
8.18,19.3,140,1.8
7.95,19.1,80,1.3
8.21,17.8,354,0.9
8.08,18.4,149,1.3
8.07,18.6,85,0.7
8.24,17.6,289,1.7
8.15,18.2,148,1
8.07,22.5,87.3,1.7
8.24,17.6,339,0.9
8.15,18.2,151,0.8
8.07,22.5,89.7,1.5
8.24,17.9,355,1.7
8.09,18.6,153,0.9
7.95,20,92,1.3
8.02,18.1,355,1.8
8.14,18.3,153,0.8
7.82,18.2,92,0.9
7.92,18.4,220,3.2
8.01,18.5,150,2.2
8.01,20.8,88.2,1.7
8.12,17.2,314,1.3
8.06,18.6,156,0.6
7.93,22,96,1.1
8.3,19.2,347,2.8
8.29,19.3,165,1.5
7.73,24.1,99,0.6
8.25,18.8,396,1.3
8.19,19.5,164,1.5
8.11,24,103,1.2
8.27,20.6,407,1.1
8.2,21.4,163,0.5
8.32,24.2,97.5,0.8
8.38,19.8,413,1.9
8.25,20.1,168,1
8.54,22.9,92,1.2
8.46,19.6,367,1
8.6,20.5,159,0.8
8.38,21.5,80,1.1
8.21,20.5,328,1.1
8.2,20.7,157,2.4
8.51,21,86,1
8.07,18.4,153,2.3
8.14,19,158,1.6
8.1,22.4,91,0.7
8.13,17.9,265,1.2
8.19,18.5,156,1
8.16,18.9,142,0.8
8.09,15.4,305,0.9
8.35,13,154,1.1
8,15.6,93,1.4
8.37,22.1,302,1.7
8.36,22.1,157,1.3
7.98,21.1,92.1,0.8
8.24,18.4,327,1.6
8.23,18.8,165,0.7
8.08,18,97,0.6
8.21,15.1,298,0.8
8.17,14.5,157.3,0.9
8.03,14.6,97,1
8.41,20.9,336,2.8
8.3,21.2,173,1.3
8.01,20,106,0.9
8.23,20,256,1.3
8.31,20.3,190,1.9
8.15,20.6,82,1.2
8.1,16,304,2.9
7.67,17,275,2
7.74,20.1,67.8,0.9
8.24,19.8,287,1.8
8.01,19.6,162,2.6
7.81,20.1,92,3
8.09,19.2,287,1
8,20.2,149,1.2
7.96,19.2,91,1.5
7.96,19.4,215,10.7
8.03,19.3,146,0.9
7.94,20.2,83,0.9
8.21,17.9,252,2.9
8.24,18.4,135,2.7
8.06,20.4,70,1.5
8.12,18.5,256,2.1
8.08,19.4,150,1.5
8.01,21.1,80,1
8.27,19.5,355,1.2
8.17,20.1,156,1
8.34,20.4,90,0.9
8.19,18.1,266,3.1
8.2,18.4,119,3.3
7.93,20.1,75,1.9
8.22,18.2,283,0.8
8.17,19.3,146,0.7
8.27,20.2,77.4,0.2
8.34,19,271,2.8
8.18,19.3,118,1.1
7.92,19.1,80,1.3
8.24,19.3,265,2.6
8.3,19.7,142,0.9
8.23,18.7,73,1.6
8.32,19.3,335,1.1
8.4,18.9,161,1.1
8.33,19,87,0.5
8.23,20.1,321,1.5
8.22,19.9,157,1.6
8.13,19.1,90,1.3
8.4,18.9,341,
8.57,19.1,148,
8.33,20.5,81,
8.27,19.1,251,2.8
8.3,18.9,145,1.2
7.91,19.7,81,1.5
8.08,17.8,196,
8.1,18.6,133,
8.19,17.5,78,
8.2,17,188,
8.23,17.2,129,
8.11,18.9,73,
8.05,17.8,282,0.6
8.04,18.2,139,0.3
8.16,18.9,78,0.8
8.16,18.9,223,2
8.18,19,139,1
8.01,18,125,0.8
8.17,18.2,301,1.9
8.26,18.1,145,0.5
8.12,19.1,82,0.5
8.12,18.4,313,1
8.08,18.8,155,0.7
8.11,18.9,88,1.5
8.12,18.7,383,0.5
8.28,18.3,150,0.9
8.43,20.9,86.7,1.2
8.39,17.5,319,1.3
8.5,15.1,151,0.7
8.14,18.8,90,0.8
8.33,18.1,366,0.8
8.25,18.6,155,0.8
8.19,19.1,89,1
8.24,19.2,329,2
8.22,19.5,138,1
8.18,19.2,79.3,1.6
8.15,18.8,284,1.1
8.22,19,122,0.6
8.16,20.1,66,0.8
8.02,18.8,288,0.4
7.8,19.1,125.3,0.6
8.09,20,69.1,0.7
7.82,20.2,234,0.1
7.76,20.6,120,1
7.67,18.9,246,1.6
7.62,19.5,125,2
7.91,21,67.9,1.2
7.77,18.6,239,2.8
7.73,19,128,1
8.48,22.9,70,2.5
7.95,19.8,371,1.4
7.77,19.9,166,0.7
8.22,21.3,89.8,1
7.86,19.9,269,2.2
8.17,19.6,161,0.4
8.2,20.4,87,0.6
7.91,18.4,274,1.2
7.72,19.7,147,2.6
7.45,18.8,78,2.8
7.9,18.4,371,2.3
7.93,18.7,228,1.6
8.11,20.6,126,1.6
7.98,18,360,1.6
7.8,18.7,190,0.3
7.76,18.6,99,2.9
8.4,20.7,372,2.8
8.33,20.8,173,2.5
7.95,21,85,1
8.12,19.9,336,1.2
8,19.7,152,0.8
7.47,19.3,86,1.1
8.08,18.9,351,1.3
7.94,18.8,175,1.2
7.82,19.6,100,0.9
7.9,18.5,338,0.7
7.73,18.8,180,0.8
7.77,20.2,104,0.7
8.05,18.7,361,0.9
7.78,19.6,215,1
7.79,19,99,1.2
8.1,20.7,358,0.5
7.97,20.8,214,0.6
7.86,19,99.9,0.5
8.09,18.2,267,2.8
7.93,18.6,173,0.5
7.83,18.5,94.7,0.7
8.02,18,360,1.1
7.74,18.6,164,1.2
7.5,20.8,85,0.09
7.95,18.3,372,2
7.88,19,168,2.2
7.85,19.2,91,1.3
7.43,17.8,390,1
4.37,18.6,175,0.7
3.99,18.5,92,1.2
8.01,17.1,242,1.7
8.02,18,155,1.4
7.97,21.2,81,0.5
8.16,19.1,336,0.8
7.9,19.6,155,0.9
7.95,20.6,88.4,0.9
7.7,18.6,239,1.5
7.69,18.9,152,1.3
7.64,18,81.3,2.3
7.97,19.2,231,2.9
7.98,20.1,151,2.7
7.82,20.6,84.2,1.4
7.87,18.5,234,1.2
7.84,18.7,136,1.5
7.95,20.2,74.1,1.3
7.93,18.7,223,1.2
7.76,19,128,1.5
7.76,19.1,70.2,1.6
7.7,18,223,1.1
7.66,18.1,131,1.2
7.66,19.7,74.9,2.1
8.17,55.9,275,2.4
7.9,14.7,135,1.9
7.89,19.2,74.3,0.8
8.09,17.8,259,1.5
8.1,17.9,260,2.1
7.65,18.3,76,1
8.16,18.4,300,2
7.93,18.7,140,0.8
7.84,21.7,77.3,1.1
8.18,17.3,341,1
7.95,18.7,144,0.7
7.95,18.7,78.4,2.1
8.21,18.4,369,1.2
8.1,19.1,146,1
7.58,20.1,93.6,0.5
8.07,18.5,321,2.3
7.86,18.6,136,2.6
8.13,19.4,76.3,1.2
8.17,20.2,228,1.7
8.04,20,131,2
8.23,20.9,69,3.7
7.94,20.5,228,1.4
7.74,20.6,129,1.5
7.94,18.6,204,0.3
7.78,18.3,130,0.2
8.01,18.6,225,0.05
8.05,19.2,130,0.06
7.96,19.6,74.6,1.5
7.82,19.3,267,1.4
7.78,19.2,138,1.2
8.13,20,70.3,2.4
8.02,17.4,258,2
8.04,18.4,143,1.1
8.15,17.6,74.1,2.5
7.91,19,220,0.4
7.89,19.3,146,0.5
7.54,17.9,75,0.9
8.19,18.5,278,1.6
8.05,19.3,140,1.1
7.98,20.2,79,1.8
8.18,16.9,17,1
8.03,17.5,17.5,1.9
7.8,17.8,17.8,2.1
8.29,17.7,319,1.3
8.06,18.2,138.4,1.7
7.35,19.7,74.3,1.3
8.24,20,366,2.6
7.99,20.2,150,2.2
7.89,20.7,80.4,1.3
7.91,19.3,128,2
7.9,19.8,93.6,1.3
7.92,19,53.4,1.1
8.03,19.2,14.2,1
8.05,19.3,5.55,0.8
7.89,19.8,25.3,3.3
8.22,19.4,294,2
8.06,20.6,152,2.3
7.91,19.8,82.7,0.9
8.25,19,241,1.1
8.04,18.9,139,0.9
8.27,21.2,76,2.1
