pH,TEMPERATURA (°C),CONDUCTIVIDAD ELÉCTRICA (µS/cm),NITRATOS (mg N-NO3/l)
6.6,,73.9,0.06
6.7,,67.9,0.03
6.8,,69.5,0.06
7.1,,62.2,0.023
6.9,,71.7,0.12
6.8,,85.8,0.05
6.9,,82.6,0.04
6.8,,90,0.05
7.1,,81.4,0.04
7,,89.1,0.022
7.2,,110.6,0.01
7.3,,127.3,0.068
7.1,,139,0.018
7.4,,13.7,0.018
7.3,,130.6,0.047
7.3,,153.6,0.018
7.4,,156.9,0.038
7.8,,157.9,0.058
7.4,,153.6,0.042
6.6,,84,0.03
6.5,,73.9,0.038
7.1,,50,0.06
6.9,,72.8,0.1
7.3,,0.45,0.022
7.2,,15.1,0.042
7.2,,3.1,0.05
7.2,,82.2,0.05
7,,88.5,0.07
7,,,0.1
6.8,,121.2,0.098
7,,113.4,0.038
7.5,,164.3,0.03
7.1,,127,0.038
6.6,,116.3,0.05
6.6,,122.4,0.13
6.7,,117,0.14
6.8,,140,0.22
6.7,,137,0.18
6.5,,84,0.02
6.7,,83.4,0.01
7.1,,82,0.02
7.1,,83.4,0.02
7.3,,92.5,0.02
6.8,,319.5,0.03
7,,,0.16
7,,115.8,0.05
7.1,,123.7,0.02
7,,111.8,0.078
7.2,,,0.062
6.6,,161.6,0.018
7,,134,0.01
7.1,,151.5,0.13
7.1,,160,0.16
6.9,,110,0.18
7.1,,95.9,0.01
6.6,,156.6,0.07
7,,163.2,0.02
6.9,,156.4,0.022
7.5,,145,0.1
6.6,,150,0.05
7.1,,,0.12
6.9,,,0.28
6.6,,130,0.058
6.8,,,0.09
6.6,,215.4,0.04
6.8,,100,0.038
6.7,,82,0.122
6.8,,82.8,0.03
7,,72.6,0.03
7.2,,101.2,0.06
6.8,,64.4,0.022
6.8,,64.4,0.058
6.8,,88,0.082
7.5,,98,0.14
6.9,,98,0.12
7,,102.3,0.1
6.9,,111.2,0.092
7,,115.7,0.06
6.9,,115.7,0.07
7,,115.7,0.12
7,,177.3,0.08
7.6,,141.4,0.18
7.5,,160.3,0.22
7.7,,160.3,0.24
7.1,,174.8,0.31
6.9,,64,0.048
6.8,,82,0.13
6.9,,72,0.12
7,,76,0.068
6.8,,68,0.11
6.8,,78,0.178
7.1,,110.4,0.005
7,,88.4,0.08
7,,104.6,0.11
7,,99.9,0.061
7,,115,0.086
7,,120.7,0.1
7,,120.7,0.166
6.8,,113.3,0.17
7.2,,184,0.105
7.1,,177.3,0.05
7,,161.4,0.12
7,,161.4,0.1
6.8,,170.2,0.14
6.7,,,0.064
6.5,,113.2,0.076
6.4,,99,0.083
6.6,,93.2,0.057
7.1,,92,0.005
7.5,,101.2,0.003
6.6,,99.8,0.028
6.9,,108.8,0.024
7.2,,108.8,0.037
6.9,,127,0.034
7.2,,127,0.071
7,,145.1,0.077
7,,136,0.074
