Temperatura °C,Conductividad Eléctrica uS/cm,pH unidades de pH,Nitratos (mg N-NO3-/L)
,73.9,6.6,0.06
,67.9,6.7,0.03
,69.5,6.8,0.06
,62.2,7.1,0.023
,71.7,6.9,0.12
,85.8,6.8,0.05
,82.6,6.9,0.04
,90,6.8,0.05
,81.4,7.1,0.04
,89.1,7,0.022
,110.6,7.2,0.01
,127.3,7.3,0.068
,139,7.1,0.018
,13.7,7.4,0.018
,130.6,7.3,0.047
,153.6,7.3,0.018
,156.9,7.4,0.038
,157.9,7.8,0.058
,153.6,7.4,0.042
,84,6.6,0.03
,73.9,6.5,0.038
,50,7.1,0.06
,72.8,6.9,0.1
,0.45,7.3,0.022
,15.1,7.2,0.042
,3.1,7.2,0.05
,82.2,7.2,0.05
,88.5,7,0.07
,,7,0.1
,121.2,6.8,0.098
,113.4,7,0.038
,164.3,7.5,0.03
,127,7.1,0.038
,116.3,6.6,0.05
,122.4,6.6,0.13
,117,6.7,0.14
,140,6.8,0.22
,137,6.7,0.18
,84,6.5,0.02
,83.4,6.7,0.01
,82,7.1,0.02
,83.4,7.1,0.02
,92.5,7.3,0.02
,319.5,6.8,0.03
,,7,0.16
,115.8,7,0.05
,123.7,7.1,0.02
,111.8,7,0.078
,,7.2,0.062
,161.6,6.6,0.018
,134,7,0.01
,151.5,7.1,0.13
,160,7.1,0.16
,110,6.9,0.18
,95.9,7.1,0.01
,156.6,6.6,0.07
,163.2,7,0.02
,156.4,6.9,0.022
,145,7.5,0.1
,150,6.6,0.05
,,7.1,0.12
,,6.9,0.28
,130,6.6,0.058
,,6.8,0.09
,215.4,6.6,0.04
,100,6.8,0.038
,82,6.7,0.122
,82.8,6.8,0.03
,72.6,7,0.03
,101.2,7.2,0.06
,64.4,6.8,0.022
,64.4,6.8,0.058
,88,6.8,0.082
,98,7.5,0.14
,98,6.9,0.12
,102.3,7,0.1
,111.2,6.9,0.092
,115.7,7,0.06
,115.7,6.9,0.07
,115.7,7,0.12
,177.3,7,0.08
,141.4,7.6,0.18
,160.3,7.5,0.22
,160.3,7.7,0.24
,174.8,7.1,0.31
,64,6.9,0.048
,82,6.8,0.13
,72,6.9,0.12
,76,7,0.068
,68,6.8,0.11
,78,6.8,0.178
,110.4,7.1,0.005
,88.4,7,0.08
,104.6,7,0.11
,99.9,7,0.061
,115,7,0.086
,120.7,7,0.1
,120.7,7,0.166
,113.3,6.8,0.17
,184,7.2,0.105
,177.3,7.1,0.05
,161.4,7,0.12
,161.4,7,0.1
,170.2,6.8,0.14
,,6.7,0.064
,113.2,6.5,0.076
,99,6.4,0.083
,93.2,6.6,0.057
,92,7.1,0.005
,101.2,7.5,0.003
,99.8,6.6,0.028
,108.8,6.9,0.024
,108.8,7.2,0.037
,127,6.9,0.034
,127,7.2,0.071
,145.1,7,0.077
,136,7,0.074
,,7.1,0.295
,186.6,7.1,0.251
,186.9,7.1,0.225
,195.8,7.1,0.324
,,6.5,0.086
,,6.8,0.118
,,7.1,0.118
,113.2,6.3,0.172
,108.4,6.4,0.139
,113.3,7,0.06
,,6.9,0.146
,145.9,7.1,0.4
,128.6,7.1,0.06
,144,7.1,0.08
,148.8,7,0.04
,144,7.1,0.14
,,7,0.067
,,7.3,0.146
,124.2,7,0.062
,,6.7,0.11
,165.6,6.8,0.003
,211.6,7.1,0.004
,213.2,7,0.049
,199.5,7.1,0.049
,,6.8,0.096
,,6.8,0.108
,,7,0.102
,,7,0.07
,,7,0.067
,147.2,7.3,0.111
,,6.7,0.162
,,6.7,0.04
,,6.7,0.07
,,6.8,0.048
,,6.8,0.04
,,7,0.076
,,7.3,0.3
,,7.3,0.3
,,7.3,0.07
,,6.7,0.04
,,7.3,0.22
,,7.3,0.032
,,7.4,0.05
,,7.3,0.07
,,6.4,
,75,6.7,0.171
,75,6.6,0.206
,85,6.6,0.27
,105,6.1,0.203
,104,6.4,0.257
,111,6.4,0.241
,120,6.4,0.398
,114,6.5,0.187
,113,6.3,0.143
,70.5,6,0.099
,72,6.1,0.038
,66,6.5,0.029
,70,6.3,0.076
,73,6.5,0.155
,69,6.3,0.159
,69,6.4,0.149
,76,6.5,0.219
,82,6.9,0.181
,91.5,6.5,0.229
,100,6.4,0.216
,108,6.4,0.279
,100,6.3,0.165
,109,6.4,0.213
,110,6.6,0.054
,110,6.5,0.124
,115,6.6,0.184
,115,6.6,0.08
,115,6.7,0.118
,90.4,6.4,0.086
,90.4,6.1,0.121
,79.1,6.4,0.127
,75.4,6.5,0.092
,71.6,6.5,0.019
,75,6.3,0.016
,113.2,6.6,0.007
,92.1,6.5,0.165
,108.9,6.5,0.111
,102.7,6.4,0.108
,112,6.5,0.187
,116.9,6.5,0.105
,138,6.6,0.08
,130.7,6.5,0.067
,8.3,6.1,0.083
,8,6.2,0.07
,7.5,6.6,0.019
,73.5,6.6,0.067
,76.9,6.8,0.143
,105.5,4.2,0.007
,87.8,6.8,0.187
,99.2,6.5,0.254
,112.6,6.4,0.114
,111,6.5,0.124
,147.3,6.7,0.121
,147,6.7,0.162
,144,6.6,0.057
,161.6,6.7,0.08
,146.1,6.9,0.067
,168.5,6.8,0.092
,182.9,7,0.171
,129.7,7,0.191
,153.4,7,0.241
,160,6.6,0.003
,170,6.5,0.064
,89.5,6.8,0.038
,92.4,6.9,0.07
,123.2,6.7,0.127
,113,7,0.181
,128.1,7.1,0.21
,140.4,7.2,0.057
,158.3,7.2,0.022
,150.8,7.4,0.038
,143.2,7.1,0.073
,143.2,7.4,0.067
,170,6.8,0.102
20,53.3,6.6,0.035
20.5,61.5,6.6,0.045
19,74,6.4,0.048
20,65.9,7.1,0.064
23,69.6,6.8,0.073
20,87,6.9,0.076
0,261.7,6.6,0.371
21,107.8,7,0.089
21,105.5,6.8,0.083
23,110,7.4,0.051
23.8,133.5,7.2,0.032
24,256.3,7,0.06
22,145.2,6.8,0.19
23,145.2,6.9,0.17
21,159.7,6.4,0.05
22,152.5,6.9,0.29
