FECHA,COLOR U.P.C,TURBIEDAD  U.N.T.,PH,CLORO RESIDUAL LIBRE  mg/L   Cl2,DUREZA TOTAL mg/L CaCO3,HIERRO TOTAL                                                                                                                                                                                                                                                   ,CLORUROS                                                                                                                                                                                                                                                       ,ALCALINIDAD                                                                                                                                                                                                                                                    ,SULFATOS                                                                                                                                                                                                                                                       ,NITRATOS                                                                                                                                                                                                                                                       ,NITRITOS                                                                                                                                                                                                                                                       ,ALUMINIO                                                                                                                                                                                                                                                       ,CONDUCTIVIDAD    microsiemens/cm,TEMPERATURA °c,OLOR Y SABOR    (Aceptable),COLIFORMES                                                                                                                                                                                                                                                     ,E- COLI
01/01/2018 12:00:00 AM,3,0.88,7.32,1.12,97,0.06,7.5,72,41,0.8,0.003,0.06,273,19.4,A.C.,0,0
02/01/2018 12:00:00 AM,3,0.84,7.78,1.27,93,0.07,7.3,0,47,1.1,0.004,0.06,306,21.3,A.C.,0,0
03/01/2018 12:00:00 AM,4,0.94,7.89,1.12,0,0.07,0,0,51,0,0.004,0.05,281,21,A.C.,0,0
04/01/2018 12:00:00 AM,3,0.93,7.75,1.14,0,0.06,0,0,0,0,0.001,0.05,227,20.6,A.C.,0,0
05/01/2018 12:00:00 AM,4,0.96,7.61,1.16,0,0.07,0,0,0,0,0,0.07,182,21.5,A.C.,0,0
06/01/2018 12:00:00 AM,2,0.78,7.65,1.13,60,0.06,0,0,29,0.8,0.003,0.04,192,21.2,A.C.,0,0
07/01/2018 12:00:00 AM,2,0.67,7.5,1.09,75,0.04,0,0,33,0.8,0.003,0.07,216,20.5,A.C.,0,0
08/01/2018 12:00:00 AM,3,0.89,7.46,1.08,74,0.06,0,66,33,0.7,0.003,0.08,212,19.9,A.C.,0,0
09/01/2018 12:00:00 AM,2,0.8,7.8,1.14,97,0,0,71,41,0.8,0.004,0.08,256,21.2,A.C.,0,0
10/01/2018 12:00:00 AM,3,0.81,7.81,1.12,92,0,0,66,42,0.7,0.004,0.06,262,21,A.C.,0,0
11/01/2018 12:00:00 AM,2,0.82,7.82,1.14,97,0,0,72,41,0.8,0.004,0.09,264,20.8,A.C.,0,0
12/01/2018 12:00:00 AM,2,0.8,7.76,1.16,104,0,0,77,42,0.8,0.004,0.10,276,21,A.C.,0,0
02/01/2019 12:00:00 AM,3,0.81,7.79,1.18,119,0,0,86,54,1,0.004,0.08,300,20.9,A.C.,0,0
03/01/2019 12:00:00 AM,4,0.95,7.8,1.13,110,0,0,79,47,1,0.004,0.09,252,21,A.C.,0,0
04/01/2019 12:00:00 AM,4,0.93,7.66,1.2,93,0,0,0,39,1.2,0.004,0.08,225,21,A.C.,0,0
05/01/2019 12:00:00 AM,4,0.93,7.66,1.2,93,0,0,0,39,1.2,0.004,0.08,225,21,A.C.,0,0
06/01/2019 12:00:00 AM,4,1.09,7.61,1.04,0,0,0,0,41,1,0.004,0.12,219,20.4,A.C.,0,0
07/01/2019 12:00:00 AM,3,0.86,7.61,1.13,0,0.07,0,67,43,1.1,0.005,0.05,256,21,A.C.,0,0
08/01/2019 12:00:00 AM,2,0.83,7.71,1.17,0,0.07,0,76,49,0.9,0.005,0.08,257,21.1,A.C.,0,0
09/01/2019 12:00:00 AM,3,0.91,7.76,1.06,112,0.08,9.8,83,53,0.9,0.005,0.06,284,21.3,A.C.,0,0
10/01/2019 12:00:00 AM,4,1.02,7.44,1.01,94,0.08,7.6,69,41,0.9,0.004,0.06,234,20.3,A.C.,0,0
11/01/2019 12:00:00 AM,2,0.87,7.68,1.03,95,0.07,3.8,69,40,1,0.005,0.05,250,28.4,A.C.,0,0
12/01/2019 12:00:00 AM,3,0.94,7.71,1.06,111,0.07,9.6,83,46,1,0.005,0.07,330,21.1,A.C.,0,0
01/01/2020 12:00:00 AM,3,0.87,7.79,1.06,123,0.07,8.4,95,50,1.1,0.004,0.05,335,21.3,A.C.,0,0
02/01/2020 12:00:00 AM,2,0.81,7.81,1.11,134,0.06,10.7,98,55,1.1,0.004,0.05,331,25,A.C.,0,0
03/01/2020 12:00:00 AM,3,0.84,7.76,1.09,111,0.07,9.2,89,57,1.1,0.005,0.09,339,21.4,A.C.,0,0
04/01/2020 12:00:00 AM,4,0.85,7.63,1.21,133,0.09,8.8,90,54,1,0.003,0.12,331,22.1,A.C.,0,0
05/01/2020 12:00:00 AM,4,0.85,7.6,1.18,137,0.08,10.1,94,54,1,0.004,0.11,324,22.2,A.C.,0,0
06/01/2020 12:00:00 AM,5,1.14,7.54,1.16,99,0.08,9.5,67,37,0.9,0.003,0.12,276,21.8,A.C.,0,0
07/01/2020 12:00:00 AM,6,1.3,7.59,1.22,121,0.09,9,77,39,0.9,0.003,0.12,282,20.2,A.C.,0,0
08/01/2020 12:00:00 AM,5,1.2,7.61,1.18,101,0.09,7.6,71,36,1,0.003,0.11,287,20.6,A.C.,0,0
09/01/2020 12:00:00 AM,5,1.02,7.59,1.25,107,0.08,8.9,76,38,1.2,0.004,0.09,285,20.1,A.C.,0,0
10/01/2020 12:00:00 AM,5,0.94,7.61,1.1,177,0.08,8.5,81,41,1,0.003,0.09,299,20.3,A.C.,0,0
11/01/2020 12:00:00 AM,4,1.19,7.94,1.06,105,0.09,8.5,72,39,1.2,0.004,0.08,286,20.5,A.C.,0,0
12/01/2020 12:00:00 AM,4,1.14,7.62,0.98,94,0.09,8.13,69,45,0.9,0.004,0.15,316,20.4,A.C.,0,0
01/01/2021 12:00:00 AM,4,1.18,7.6,1.13,106,0.11,8.7,75,42,0.8,0.006,0.09,308,20.5,A.C.,0,0
02/01/2021 12:00:00 AM,4,1.02,7.65,1.11,82,0.09,9.6,78,33,0.9,0.004,***,321,19.8,A.C.,0,0
03/01/2021 12:00:00 AM,3,1.02,7.48,1.17,97,0.13,8.8,68,35,0.9,0.004,***,254,20.9,A.C.,0,0
04/01/2021 12:00:00 AM,3,0.95,7.41,1.19,103,0.09,8.4,76,39,1.1,0.004,0.05,276,21.1,A.C.,0,0
05/01/2021 12:00:00 AM,4,1.24,7.37,0.92,80,0.08,7.7,59,28,1.1,0.004,0.05,229,21.4,A.C.,0,0
06/01/2021 12:00:00 AM,5,1.34,7.26,0.93,89,0.09,6.3,59,31,1.1,0.005,0.07,228,21.3,A.C.,0,0
07/01/2021 12:00:00 AM,4,1.22,7.58,0.86,89,0.09,7.1,64,34,1.1,0.005,0.06,233,21.2,A.C.,0,0
08/01/2021 12:00:00 AM,4,1.26,7.63,0.76,85,0.08,8.8,59,30,1.1,0.006,0.06,203,21.1,A.C.,0,0
09/01/2021 12:00:00 AM,5,1.26,7.62,0.93,84,0.08,9.1,64,44,1.2,0.005,0.06,207,21.2,A.C.,0,0
10/01/2021 12:00:00 AM,4,1.11,7.58,0.88,86,0.08,8.8,66,29,1.1,0.005,0.03,209,20.9,A.C.,0,0
11/01/2021 12:00:00 AM,4,1.11,7.57,1.01,90,0.12,8.1,67,31,1.3,0.005,0.04,221,19.9,A.C.,0,0
12/01/2021 12:00:00 AM,4,0.94,7.65,1.11,106,0.15,8,77,38,1.2,0.005,0.05,268,21.8,A.C.,0,0
01/31/2022 12:00:00 AM,5,0.9,7.75,1.05,109,0.18,7.7,75,44,1.1,0.004,0.05,284,20.6,A.C.,0,0
02/28/2022 12:00:00 AM,6,1.19,7.83,0.99,109,0.16,7.5,76,45,1.1,0.006,0.06,291,21,A.C.,0,0
03/31/2022 12:00:00 AM,5,1.22,7.65,0.91,95,0.15,8.8,65,59,1.2,0.006,0.04,248,21,A.C.,0,0
04/30/2022 12:00:00 AM,4,1.18,7.57,1.05,104,0.13,8.6,56,30,1.2,0.005,0.06,219,20.9,A.C.,0,0
05/30/2022 12:00:00 AM,5,1.12,7.49,1,187,0.15,8.1,65,28,1.2,0.005,0.06,215,21.1,A.C.,0,0
06/30/2022 12:00:00 AM,3,1.06,7.29,0.89,163,0.14,7.9,54,25,1.08,0.008,0.06,195,20.2,A.C.,0,0
07/30/2022 12:00:00 AM,3,1.06,7.29,0.89,163,0.14,7.9,54,25,1.1,0.008,0.06,195,20.2,A.C.,0,0
08/30/2022 12:00:00 AM,5,1.24,7.62,0.92,96,0.11,6.9,68,42,1.3,0.006,0.14,236,20.7,A.C.,0,0
09/30/2022 12:00:00 AM,4,1.14,7.66,0.93,100,0.1,6.8,67,38,1.3,0.007,0.06,248,19.9,A.C.,0,0
10/30/2022 12:00:00 AM,4,1.22,7.56,0.94,88,0.12,7.5,67,36,0.8,0.006,0.06,225,20.6,A.C.,0,0
11/30/2022 12:00:00 AM,4,1.24,7.7,0.98,90,0.16,7.5,66,56,1.4,0.005,0.06,239,19.9,A.C.,0,0
