PH,NITRATOS,CONDUCTIVIDAD,TEMPERATURA
7.32,0.8,273,19.4
7.78,1.1,306,21.3
7.89,0,281,21
7.75,0,227,20.6
7.61,0,182,21.5
7.65,0.8,192,21.2
7.5,0.8,216,20.5
7.46,0.7,212,19.9
7.8,0.8,256,21.2
7.81,0.7,262,21
7.82,0.8,264,20.8
7.76,0.8,276,21
7.79,1,300,20.9
7.8,1,252,21
7.66,1.2,225,21
7.66,1.2,225,21
7.61,1,219,20.4
7.61,1.1,256,21
7.71,0.9,257,21.1
7.76,0.9,284,21.3
7.44,0.9,234,20.3
7.68,1,250,28.4
7.71,1,330,21.1
7.79,1.1,335,21.3
7.81,1.1,331,25
7.76,1.1,339,21.4
7.63,1,331,22.1
7.6,1,324,22.2
7.54,0.9,276,21.8
7.59,0.9,282,20.2
7.61,1,287,20.6
7.59,1.2,285,20.1
7.61,1,299,20.3
7.94,1.2,286,20.5
7.62,0.9,316,20.4
7.6,0.8,308,20.5
7.65,0.9,321,19.8
7.48,0.9,254,20.9
7.41,1.1,276,21.1
7.37,1.1,229,21.4
7.26,1.1,228,21.3
7.58,1.1,233,21.2
7.63,1.1,203,21.1
7.62,1.2,207,21.2
7.58,1.1,209,20.9
7.57,1.3,221,19.9
7.65,1.2,268,21.8
7.75,1.1,284,20.6
7.83,1.1,291,21
7.65,1.2,248,21
7.57,1.2,219,20.9
7.49,1.2,215,21.1
7.29,1.08,195,20.2
7.29,1.1,195,20.2
7.62,1.3,236,20.7
7.66,1.3,248,19.9
7.56,0.8,225,20.6
7.7,1.4,239,19.9
7.7,1.8,255,19.9
7.69,1.9,265,20.4
7.67,1.8,296,20.6
7.58,1.9,200,18.9
7.69,1.8,225,19.4
7.61,1.8,241,20.9
7.59,2.2,216,20.4
7.72,2,242,20
7.6,1.1,256,20.6
7.72,1.4,273,20.4
7.32,0.8,273,19.4
7.78,1.1,306,21.3
7.89,0,281,21
7.75,0,227,20.6
7.61,0,182,21.5
7.65,0.8,192,21.2
7.5,0.8,216,20.5
7.46,0.7,212,19.9
7.8,0.8,256,21.2
7.81,0.7,262,21
7.82,0.8,264,20.8
7.76,0.8,276,21
7.79,1,300,20.9
7.8,1,252,21
7.66,1.2,225,21
7.66,1.2,225,21
7.61,1,219,20.4
7.61,1.1,256,21
7.71,0.9,257,21.1
7.76,0.9,284,21.3
7.44,0.9,234,20.3
7.68,1,250,28.4
7.71,1,330,21.1
7.79,1.1,335,21.3
7.81,1.1,331,25
7.76,1.1,339,21.4
7.63,1,331,22.1
7.6,1,324,22.2
7.54,0.9,276,21.8
7.59,0.9,282,20.2
7.61,1,287,20.6
7.59,1.2,285,20.1
7.61,1,299,20.3
7.94,1.2,286,20.5
7.62,0.9,316,20.4
7.6,0.8,308,20.5
7.65,0.9,321,19.8
7.48,0.9,254,20.9
7.41,1.1,276,21.1
7.37,1.1,229,21.4
7.26,1.1,228,21.3
7.58,1.1,233,21.2
7.63,1.1,203,21.1
7.62,1.2,207,21.2
7.58,1.1,209,20.9
7.57,1.3,221,19.9
7.65,1.2,268,21.8
7.75,1.1,284,20.6
7.83,1.1,291,21
7.65,1.2,248,21
7.57,1.2,219,20.9
7.49,1.2,215,21.1
7.29,1.08,195,20.2
7.29,1.1,195,20.2
7.62,1.3,236,20.7
7.66,1.3,248,19.9
7.56,0.8,225,20.6
7.7,1.4,239,19.9
7.7,1.8,255,19.9
7.69,1.9,265,20.4
7.67,1.8,296,20.6
7.58,1.9,200,18.9
7.69,1.8,225,19.4
7.61,1.8,241,20.9
7.59,2.2,216,20.4
7.72,2,242,20
7.6,1.1,256,20.6
7.72,1.4,273,20.4
7.74,1.2,267,21.1
7.67,1.3,254,20.4
7.7,1.3,286,20
7.81,1.3,329,18.8
7.86,1.4,359,20.6
7.78,1.7,356,20.5
