DEPARTAMENTO,MUNICIPIO,Muestras Evaluadas,Muestras Tratadas,Muestras Sin Tratamiento,IRCA MÍnimo,IRCA Máximo,IRCA Promedio,NUMERO PARAMETROS MÍnimo,NUMERO PARAMETROS Máximo,NUMERO PARAMETROS Promedio,Alcanilidad Total Número Muestras,Alcanilidad Total No Aptas,Alcanilidad Total % No Aptas,Alcanilidad Total MÍnimo,Alcanilidad Total Máximo,Alcanilidad Total Promedio,Aluminio Número Muestras,Aluminio No Aptas,Aluminio % No Aptas,Aluminio MÍnimo,Aluminio Máximo,Aluminio Promedio,Cloro residual libre Número Muestras,Cloro residual libre No Aptas,Cloro residual libre % No Aptas,Cloro residual libre MÍnimo,Cloro residual libre Máximo,Cloro residual libre Promedio,Cloruros Número Muestras,Cloruros No Aptas,Cloruros % No Aptas,Cloruros MÍnimo,Cloruros Máximo,Cloruros Promedio,Coliformes totales Número Muestras,Coliformes totales No Aptas,Coliformes totales % No Aptas,Coliformes totales MÍnimo,Coliformes totales Máximo,Coliformes totales Promedio,Color aparente Número Muestras,Color aparente No Aptas,Color aparente % No Aptas,Color aparente MÍnimo,Color aparente Máximo,Color aparente Promedio,Conductividad Número Muestras,Conductividad No Aptas,Conductividad % No Aptas,Conductividad MÍnimo,Conductividad Máximo,Conductividad Promedio,COT Número Muestras,COT No Aptas,COT % No Aptas,COT MÍnimo,COT Máximo,COT Promedio,Cryptosporidium Número Muestras,Cryptosporidium No Aptas,Cryptosporidium % No Aptas,Cryptosporidium MÍnimo,Cryptosporidium Máximo,Cryptosporidium Promedio,Dureza total Número Muestras,Dureza total No Aptas,Dureza total % No Aptas,Dureza total MÍnimo,Dureza total Máximo,Dureza total Promedio,E.coli Número Muestras,E.coli No Aptas,E.coli % No Aptas,E.coli MÍnimo,E.coli Máximo,E.coli Promedio,Fluoruros Número Muestras,Fluoruros No Aptas,Fluoruros % No Aptas,Fluoruros MÍnimo,Fluoruros Máximo,Fluoruros Promedio,Giardia Número Muestras,Giardia No Aptas,Giardia % No Aptas,Giardia MÍnimo,Giardia Máximo,Giardia Promedio,Hierro total Número Muestras,Hierro total No Aptas,Hierro total % No Aptas,Hierro total MÍnimo,Hierro total Máximo,Hierro total Promedio,Nitritos Número Muestras,Nitritos No Aptas,Nitritos % No Aptas,Nitritos MÍnimo,Nitritos Máximo,Nitritos Promedio,Olor Número Muestras,Olor No Aptas,Olor % No Aptas,Olor MÍnimo,Olor Máximo,Olor Promedio,ph Número Muestras,ph No Aptas,ph % No Aptas,ph MÍnimo,ph Máximo,ph Promedio,Sabor Número Muestras,Sabor No Aptas,Sabor % No Aptas,Sabor MÍnimo,Sabor Máximo,Sabor Promedio,Sulfatos Número Muestras,Sulfatos No Aptas,Sulfatos % No Aptas,Sulfatos MÍnimo,Sulfatos Máximo,Sulfatos Promedio,Turbiedad Número Muestras,Turbiedad No Aptas,Turbiedad % No Aptas,Turbiedad MÍnimo,Turbiedad Máximo,Turbiedad Promedio
Caldas 2011,Manizales,1820,911,909,0,98.06,52.35,3,18,10,36,0,0,12,43.6,22.91,6,0,0,0,0.07,0.03,176,111,63.07,0,3.38,0.56,36,0,0,1,10.6,5.81,175,112,64,0,2419,1163.16,175,76,43.43,1,2000,66.29,175,0,0,23.5,255,107.12,8,0,0,0,3.3,1.03,1,0,0,0,0,0,36,0,0,22,52.7,39.9,175,107,61.14,0,2419,194.78,12,0,0,0,0.01,0,1,0,0,0,0,0,35,0,0,0,0.24,0.1,36,0,0,0,0.02,0,175,25,14.29,1,2,1.14,176,11,6.25,5.27,8.17,7.04,175,43,24.57,1,2,1.25,36,0,0,12,33,23.36,175,44,25.14,0.09,327,9.3
Caldas 2011,Aguadas,1339,288,1051,0,98.06,66.93,9,16,9,16,0,0,4,15,6.88,1,0,0,0.09,0.09,0.09,136,114,83.82,0.1,1.91,0.24,16,0,0,0,4.7,2.06,136,114,83.82,0,2419,1539.36,136,61,44.85,0,409,26.74,136,0,0,11,370,107.17,2,0,0,1.3,1.4,1.35,0,0,0,-,-,-,16,0,0,3,26,8.56,136,114,83.82,0,2419,149.48,16,0,0,0,0.01,0,0,0,0,-,-,-,16,0,0,0.03,0.16,0.08,16,0,0,0,0.01,0,136,10,7.35,1,2,1.07,136,8,5.88,5.73,8.23,7.18,136,24,17.65,1,2,1.18,16,0,0,0,1,0.13,136,28,20.59,0.2,66.8,3.91
Caldas 2011,Anserma,1504,648,856,0,100,48.93,4,16,9,37,0,0,6,27,16.54,2,0,0,0,0,0,131,94,71.76,0.1,1.99,0.39,36,0,0,0,8.3,3.19,154,94,61.04,0,2419,1267.86,131,56,42.75,0,640,32.98,131,0,0,2.6,270,115.19,1,0,0,1,1,1,0,0,0,-,-,-,37,0,0,10,50,20.19,154,93,60.39,0,2419,227.15,11,0,0,0,0.01,0,0,0,0,-,-,-,36,0,0,0.01,0.21,0.07,36,0,0,0,0.02,0,154,13,8.44,1,2,1.08,131,5,3.82,5.08,8.13,7.12,154,21,13.64,1,2,1.14,37,0,0,0,16,3.35,131,24,18.32,0.14,75.7,4.03
Caldas 2011,Aranzazu,724,176,548,0,100,63.5,9,10,9,0,0,0,-,-,-,1,0,0,0.08,0.08,0.08,79,62,78.48,0,1.88,0.3,0,0,0,-,-,-,79,62,78.48,0,2419,1310.99,79,46,58.23,0,529,45.37,79,0,0,25,230,101.48,2,0,0,1.1,2.2,1.65,0,0,0,-,-,-,0,0,0,-,-,-,79,61,77.22,0,2419,156.46,10,0,0,0,0.27,0.06,0,0,0,-,-,-,0,0,0,-,-,-,0,0,0,-,-,-,79,7,8.86,1,2,1.09,79,7,8.86,6.05,8.09,6.98,79,12,15.19,1,2,1.15,0,0,0,-,-,-,79,15,18.99,0.1,69.6,6.18
Caldas 2011,Belalcázar,771,185,586,0,98.13,65.9,9,10,9,0,0,0,-,-,-,1,0,0,0.05,0.05,0.05,84,70,83.33,0.1,1.37,0.23,0,0,0,-,-,-,84,69,82.14,0,2419,1859.76,84,39,46.43,2,395,35.92,84,0,0,100,220,177.68,3,1,33.33,0.5,6.7,3.17,0,0,0,-,-,-,0,0,0,-,-,-,84,69,82.14,0,2419,263.86,11,0,0,0,0,0,0,0,0,-,-,-,0,0,0,-,-,-,0,0,0,-,-,-,84,10,11.9,1,2,1.12,84,0,0,6.7,8.14,7.64,84,16,19.05,1,2,1.19,0,0,0,-,-,-,84,17,20.24,0.22,69.9,5.26
Caldas 2011,Chinchiná,1137,826,311,0,98.06,35.98,2,16,9,32,0,0,21.3,72.3,47.8,3,1,33.33,0,0.36,0.12,89,56,62.92,0.1,1.6,0.33,32,0,0,0.3,11.9,7.23,122,56,45.9,0,2419,965.66,88,29,32.95,0,815,34.75,89,0,0,46,270,150.37,5,0,0,0.3,1.9,1.08,0,0,0,-,-,-,32,0,0,27,74.2,55.51,122,54,44.26,0,2419,154.48,10,0,0,0,0.01,0,0,0,0,-,-,-,30,0,0,0.01,0.19,0.05,32,0,0,0,0.01,0,121,7,5.79,1,2,1.06,89,7,7.87,6.03,9,7.04,121,14,11.57,1,2,1.12,32,0,0,6,37,16.04,88,15,17.05,0.14,141,5.01
Caldas 2011,Filadelfia,797,285,512,0,100,58.45,9,15,9,1,0,0,28,28,28,1,0,0,0.08,0.08,0.08,86,70,81.4,0.1,1.5,0.29,1,0,0,0.7,0.7,0.7,86,71,82.56,0,2419,1036.56,86,16,18.6,0,136,13.38,86,0,0,43,350,182.29,4,1,25,0,10.1,2.73,0,0,0,-,-,-,1,0,0,16,16,16,86,64,74.42,0,2419,169.36,12,0,0,0,0.22,0.03,0,0,0,-,-,-,1,0,0,0.13,0.13,0.13,1,0,0,0.01,0.01,0.01,86,3,3.49,1,2,1.03,86,3,3.49,5.54,8.22,7.19,86,5,5.81,1,2,1.06,1,0,0,1,1,1,86,6,6.98,0.06,22.4,1.59
Caldas 2011,La Dorada,770,584,186,0,98.06,20.33,4,16,10,31,0,0,17.7,51,26.69,2,0,0,0,0.16,0.08,54,23,42.59,0.1,1.13,0.43,31,0,0,1,12.4,6.11,76,22,28.95,0,2419,251.09,54,14,25.93,1,1180,61.26,54,0,0,42,310,134.26,3,0,0,0.8,4.4,2,0,0,0,-,-,-,31,0,0,6.2,74.8,29.6,76,11,14.47,0,2419,98.41,6,0,0,0,0.42,0.17,0,0,0,-,-,-,30,0,0,0,0.15,0.05,31,0,0,0,0.01,0,76,8,10.53,1,2,1.11,54,4,7.41,6.21,8.53,6.85,76,9,11.84,1,2,1.12,31,0,0,0,16,7.19,54,11,20.37,0.1,230,10.9
Caldas 2011,La Merced,439,167,272,0,98.06,59.84,9,10,9,0,0,0,-,-,-,1,0,0,0.09,0.09,0.09,48,41,85.42,0,0.65,0.14,0,0,0,-,-,-,48,40,83.33,0,2419,1164.63,48,14,29.17,1,81,15.21,48,0,0,46,370,123.85,2,0,0,0.7,1.7,1.2,0,0,0,-,-,-,0,0,0,-,-,-,48,33,68.75,0,2419,77.92,4,0,0,0.01,0.01,0.01,0,0,0,-,-,-,0,0,0,-,-,-,0,0,0,-,-,-,48,2,4.17,1,2,1.04,48,2,4.17,5.66,8.42,7.24,48,3,6.25,1,2,1.06,0,0,0,-,-,-,48,7,14.58,0.17,17,2.13
Caldas 2011,Manzanares,549,102,447,0,98.06,59.81,9,11,9,0,0,0,-,-,-,1,0,0,0.11,0.11,0.11,60,48,80,0.1,1,0.23,0,0,0,-,-,-,60,47,78.33,0,2419,1192.4,60,15,25,0,389,21.95,60,0,0,18.5,40,26.28,1,0,0,1.7,1.7,1.7,0,0,0,-,-,-,0,0,0,-,-,-,60,47,78.33,0,1986,114.87,7,0,0,0,0,0,0,0,0,-,-,-,0,0,0,-,-,-,0,0,0,-,-,-,60,4,6.67,1,2,1.07,60,4,6.67,5.51,7.46,6.78,60,7,11.67,1,2,1.12,0,0,0,-,-,-,60,6,10,0.21,91.5,3.43
